Beruf;Kürzel
Täschner(in) (aB);XTC
Techn. Systempl., FR Elektrotechn. Systeme;MSE
Techn. Systempl., FR Stahl-/Metallbautechnik;MSS
Techn. Systempl., FR Vers.-/Ausrüstungstechnik;MSV
Technische(r) Konfektionär(in);XKO
Technische(r) Modellbauer(in) - Anschauung;MTA
Technische(r) Modellbauer(in) - Gießerei;MTG
Technische(r) Modellbauer(in) - Karosserie und Produktion;MTK
Technische(r) Produktdesigner(in) (aB);MTP
Technische(r) Produktdesigner(in)-FR Maschinen-/Anlagenkonst;MPM
Technische(r) Produktdesigner(in)-FR Produktgest/-konstrukt.;MPP
Technische(r) Systemplaner(in) (aB);MTS
Technische(r) Zeichner(in), Fachr.: Elektrotechnik;ETZ
Technische(r) Zeichner(in), Fachr.: Heizung, Klima, Sanitär;MZH
Technische(r) Zeichner(in), Fachr.: Holztechnik;HTZ
Technische(r) Zeichner(in), Fachr.: Masch.- u. Anlagentechn.;MZM
Technische(r) Zeichner(in), Fachr.: Stahl- u. Metallbautechn;MZS
Technischer Modellbauer/Technische Modellbauerin (aB);MTM
Teilezurichter(in) (aB);MTE
Textillaborant(in);CTE
Textillaborant(in)  (chemisch-technisch) (aB);CTL
Textillaborant(in) (physikalisch-technisch) (aB);CTT
Textilmaschinenführer(in) (Maschenindustrie) (aB);XTM
Textilmaschinenführer(in) (Spinnerei) (aB);XTS
Textilmaschinenführer(in) (Tufting) (aB);XTI
Textilmaschinenführer(in) (Veredlung) (aB);XTV
Textilmaschinenführer(in) (Weberei) (aB);XTW
Textilmechaniker(in)  (Bandweberei) (aB);XTB
Textilmechaniker(in)  (Spinnerei) (aB);XTP
Textilmechaniker(in)  (Tufting) (aB);XTN
Textilmechaniker(in)  (Weberei) (aB);XTE
Textilreiniger(in);CTR
Textilreinigerwerker(in);CWT
Textilstopfer(in) (aB);XTO
Textilveredler(in) (aB);XVE
Tiefbaufacharbeiter(in);BTF
Tierarzthelfer(in) (aB);GTA
Tiermedizinische(r) Fachangestellte(r);GTF
Tierpfleger(in);ATP
Tierwirt(in);ATI
Tischler(in);HTI
